,Df,Sum Sq,H,p.value
Y1,1,1103.3222,2.7185,0.0992
Y2,1,306.5127,0.7552,0.3848
Y1:Y2,1,2669.4458,6.5773,0.0103
Residuals,66,23924.7193,,
