,Df,Sum Sq,H,p.value
Y1,1,215.6973,0.7433,0.3886
Y2,1,12.5353,0.0432,0.8353
Y1:Y2,1,2277.0222,7.8471,0.0051
Residuals,66,14324.7452,,
