,Df,Sum Sq,H,p.value
Y1,1,473.8324,1.6077,0.2048
Y2,1,3.8689,0.0131,0.9088
Y1:Y2,1,2196.5409,7.4529,0.0063
Residuals,66,14419.7578,,
