,Df,Sum Sq,H,p.value
Y1,1,855.1027,2.9509,0.0858
Y2,1,304.1668,1.0497,0.3056
Y1:Y2,1,1936.2273,6.6818,0.0097
Residuals,66,13711.5031,,
