,Df,Sum Sq,H,p.value
Y1,1,273.4476,1.1797,0.2774
Y2,1,555.2694,2.3955,0.1217
Y1:Y2,1,1329.4124,5.7352,0.0166
Residuals,66,9895.3707,,
