,Df,Sum Sq,H,p.value
Y1,1,1015.3625,3.5197,0.0606
Y2,1,255.9341,0.8872,0.3462
Y1:Y2,1,2675.5159,9.2744,0.0023
Residuals,66,12785.1875,,
