,Df,Sum Sq,H,p.value
Y1,1,160.7264,0.6921,0.4054
Y2,1,4.2726,0.0184,0.8921
Y1:Y2,1,1589.6603,6.8455,0.0089
Residuals,66,10320.8407,,
