,Df,Sum Sq,H,p.value
Y1,1,2575.3158,8.7309,0.0031
Y2,1,12.5353,0.0425,0.8367
Y1:Y2,1,2372.2278,8.0424,0.0046
Residuals,66,12147.921,,
