,Df,Sum Sq,H,p.value
Y1,1,1030.9163,4.3269,0.0375
Y2,1,927.4619,3.8927,0.0485
Y1:Y2,1,1201.9433,5.0447,0.0247
Residuals,66,9229.1785,,
