,Df,Sum Sq,H,p.value
Y1,1,3326.848,8.0359,0.0046
Y2,1,173.9916,0.4203,0.5168
Y1:Y2,1,2523.7947,6.0961,0.0135
Residuals,66,22541.3658,,
