,Df,Sum Sq,H,p.value
Y1,1,423.8473,1.1892,0.2755
Y2,1,341.7156,0.9588,0.3275
Y1:Y2,1,3046.3013,8.5471,0.0035
Residuals,66,18998.6359,,
