,Df,Sum Sq,H,p.value
Y1,1,1071.6873,2.6095,0.1062
Y2,1,368.1144,0.8964,0.3438
Y1:Y2,1,2519.8466,6.1358,0.0132
Residuals,66,24377.3517,,
