,Df,Sum Sq,H,p.value
Y1,1,1049.0652,3.5624,0.0591
Y2,1,151.9373,0.5159,0.4726
Y1:Y2,1,2175.6352,7.388,0.0066
Residuals,66,13703.3623,,
