,Df,Sum Sq,H,p.value
Y1,1,24.4881,0.1117,0.7382
Y2,1,233.1666,1.0633,0.3025
Y1:Y2,1,2758.8926,12.5816,0.0004
Residuals,66,7947.4527,,
