,Df,Sum Sq,H,p.value
Y1,1,415.5666,1.0289,0.3104
Y2,1,800.8788,1.9829,0.1591
Y1:Y2,1,3066.7051,7.5928,0.0059
Residuals,66,23585.8495,,
