,Df,Sum Sq,H,p.value
Y1,1,542.3566,2.3232,0.1275
Y2,1,2599.6507,11.1357,0.0008
Y1:Y2,1,943.9064,4.0433,0.0443
Residuals,66,8053.5863,,
