,Df,Sum Sq,H,p.value
Y1,1,139.2815,0.4792,0.4888
Y2,1,118.4581,0.4075,0.5232
Y1:Y2,1,2158.7633,7.4268,0.0064
Residuals,66,14442.4971,,
