,Df,Sum Sq,H,p.value
Y1,1,1386.9003,4.7519,0.0293
Y2,1,11.624,0.0398,0.8418
Y1:Y2,1,1957.7476,6.7078,0.0096
Residuals,66,13571.7281,,
